Geneid,ProteinID,TranscriptID
gene_759,2884003,2884487
gene_51,2884086,2884570
gene_293,2884103,2884587
gene_19,2884118,2884602
gene_1580,2884121,2884605
gene_1553,2884129,2884613
gene_544,2884145,2884629
gene_1535,2884160,2884644
gene_1573,2884169,2884653
gene_1698,2884228,2884712
gene_635,2884233,2884717
gene_1250,2884244,2884728
gene_16,2884335,2884819
gene_1481,2884368,2884852
gene_17,2884405,2884889
gene_1158,2884426,2884910
gene_1308,2884433,2884917
gene_1602,2884493,2884977
gene_419,2884501,2884985
gene_340,2884507,2884991
gene_1219,2884541,2885025
gene_1056,2884845,2885329
gene_349,2884866,2885350
gene_1709,2884903,2885387
gene_92,2884925,2885409
gene_1429,2884957,2885441
gene_1628,2884974,2885458
gene_1604,2885044,2885528
gene_564,2885073,2885557
gene_1536,2885080,2885564
gene_465,2885119,2885603
gene_49,2908076,2908560
gene_107,2908172,2908656
gene_460,2908794,2909278
gene_516,2908883,2909367
gene_687,2909232,2909716
gene_710,2909283,2909767
gene_717,2909302,2909786
gene_758,2909384,2909868
gene_931,2909658,2910142
gene_1140,2910063,2910547
gene_1159,2910100,2910584
gene_1210,2910188,2910672
gene_1322,2910407,2910891
gene_1323,2910410,2910894
gene_1339,2910432,2910916
gene_1349,2910454,2910938
gene_1425,2910617,2911101
gene_1447,2910664,2911148
gene_1608,2910955,2911439
gene_1635,2911007,2911491
gene_38,2932622,2933106
gene_173,2932849,2933333
gene_226,2932937,2933421
gene_300,2933048,2933532
gene_448,2933342,2933826
gene_560,2933538,2934022
gene_665,2933759,2934243
gene_675,2933784,2934268
gene_690,2933812,2934296
gene_727,2933892,2934376
gene_848,2934122,2934606
gene_899,2934189,2934673
gene_929,2934224,2934708
gene_1078,2934490,2934974
gene_1099,2934540,2935024
gene_1206,2934748,2935232
gene_1225,2934782,2935266
gene_1249,2934818,2935302
gene_1266,2934864,2935348
gene_1361,2935048,2935532
gene_1401,2935134,2935618
gene_1446,2935229,2935713
gene_1450,2935239,2935723
gene_1482,2935314,2935798
gene_5,2957047,2957531
gene_6,2957048,2957532
gene_30,2957060,2957544
gene_83,2957094,2957578
gene_149,2957145,2957629
gene_251,2957208,2957692
gene_391,2957307,2957791
gene_547,2957406,2957890
gene_803,2957586,2958070
gene_806,2957588,2958072
gene_883,2957638,2958122
gene_885,2957640,2958124
gene_910,2957657,2958141
gene_1015,2957727,2958211
gene_1064,2957760,2958244
gene_1188,2957839,2958323
gene_1310,2957911,2958395
gene_1366,2957948,2958432
gene_1368,2957950,2958434
gene_1549,2958069,2958553
gene_1663,2958133,2958617
gene_1668,2958138,2958622
gene_8,2966511,2966995
gene_9,2966515,2966999
gene_10,2966536,2967020
gene_11,2966558,2967042
gene_21,2966586,2967070
gene_22,2966590,2967074
gene_24,2966597,2967081
gene_25,2966604,2967088
gene_29,2966644,2967128
gene_31,2966661,2967145
gene_32,2966683,2967167
gene_33,2966702,2967186
gene_34,2966713,2967197
gene_35,2966722,2967206
gene_36,2966729,2967213
gene_37,2966747,2967231
gene_39,2966776,2967260
gene_41,2966796,2967280
gene_42,2966821,2967305
gene_44,2966826,2967310
gene_48,2966857,2967341
gene_50,2966876,2967360
gene_53,2966884,2967368
gene_57,2966905,2967389
gene_58,2966910,2967394
gene_61,2966944,2967428
gene_62,2966959,2967443
gene_63,2966967,2967451
gene_64,2966976,2967460
gene_65,2966978,2967462
gene_67,2966999,2967483
gene_68,2967057,2967541
gene_70,2967105,2967589
gene_71,2967130,2967614
gene_72,2967133,2967617
gene_75,2967178,2967662
gene_78,2967203,2967687
gene_79,2967208,2967692
gene_81,2967230,2967714
gene_85,2967257,2967741
gene_87,2967271,2967755
gene_88,2967282,2967766
gene_89,2967297,2967781
gene_90,2967310,2967794
gene_93,2967337,2967821
gene_95,2967389,2967873
gene_96,2967415,2967899
gene_97,2967425,2967909
gene_98,2967432,2967916
gene_99,2967443,2967927
gene_100,2967461,2967945
gene_101,2967473,2967957
gene_102,2967497,2967981
gene_104,2967540,2968024
gene_105,2967546,2968030
gene_106,2967551,2968035
gene_108,2967605,2968089
gene_109,2967609,2968093
gene_110,2967648,2968132
gene_111,2967664,2968148
gene_112,2967671,2968155
gene_113,2967680,2968164
gene_116,2967690,2968174
gene_117,2967707,2968191
gene_118,2967717,2968201
gene_120,2967742,2968226
gene_122,2967756,2968240
gene_124,2967768,2968252
gene_126,2967803,2968287
gene_127,2967806,2968290
gene_128,2967834,2968318
gene_132,2967869,2968353
gene_133,2967912,2968396
gene_137,2967950,2968434
gene_138,2967995,2968479
gene_139,2968055,2968539
gene_140,2968061,2968545
gene_141,2968072,2968556
gene_142,2968075,2968559
gene_144,2968116,2968600
gene_146,2968138,2968622
gene_153,2968152,2968636
gene_154,2968157,2968641
gene_157,2968177,2968661
gene_158,2968216,2968700
gene_160,2968280,2968764
gene_161,2968285,2968769
gene_162,2968291,2968775
gene_163,2968300,2968784
gene_164,2968316,2968800
gene_165,2968330,2968814
gene_166,2968344,2968828
gene_167,2968372,2968856
gene_168,2968381,2968865
gene_169,2968387,2968871
gene_171,2968402,2968886
gene_172,2968424,2968908
gene_174,2968434,2968918
gene_175,2968444,2968928
gene_176,2968450,2968934
gene_177,2968470,2968954
gene_178,2968475,2968959
gene_179,2968491,2968975
gene_182,2968538,2969022
gene_183,2968539,2969023
gene_184,2968551,2969035
gene_185,2968554,2969038
gene_186,2968559,2969043
gene_188,2968573,2969057
gene_189,2968588,2969072
gene_190,2968601,2969085
gene_192,2968623,2969107
gene_193,2968633,2969117
gene_194,2968646,2969130
gene_200,2968747,2969231
gene_201,2968778,2969262
gene_202,2968787,2969271
gene_204,2968801,2969285
gene_205,2968825,2969309
gene_207,2968871,2969355
gene_208,2968879,2969363
gene_209,2968937,2969421
gene_210,2968947,2969431
gene_211,2968964,2969448
gene_212,2968975,2969459
gene_213,2969003,2969487
gene_214,2969007,2969491
gene_215,2969024,2969508
gene_216,2969033,2969517
gene_217,2969054,2969538
gene_218,2969075,2969559
gene_219,2969084,2969568
gene_221,2969131,2969615
gene_223,2969147,2969631
gene_224,2969156,2969640
gene_228,2969194,2969678
gene_229,2969217,2969701
gene_232,2969239,2969723
gene_233,2969253,2969737
gene_234,2969261,2969745
gene_235,2969273,2969757
gene_237,2969293,2969777
gene_238,2969306,2969790
gene_239,2969313,2969797
gene_240,2969325,2969809
gene_241,2969342,2969826
gene_244,2969364,2969848
gene_245,2969369,2969853
gene_247,2969378,2969862
gene_249,2969383,2969867
gene_250,2969396,2969880
gene_252,2969412,2969896
gene_253,2969431,2969915
gene_254,2969456,2969940
gene_255,2969474,2969958
gene_256,2969484,2969968
gene_257,2969493,2969977
gene_259,2969517,2970001
gene_260,2969523,2970007
gene_261,2969552,2970036
gene_262,2969559,2970043
gene_263,2969572,2970056
gene_264,2969610,2970094
gene_265,2969618,2970102
gene_266,2969634,2970118
gene_267,2969657,2970141
gene_268,2969664,2970148
gene_270,2969675,2970159
gene_271,2969680,2970164
gene_272,2969690,2970174
gene_273,2969698,2970182
gene_274,2969715,2970199
gene_276,2969732,2970216
gene_277,2969755,2970239
gene_279,2969790,2970274
gene_280,2969813,2970297
gene_281,2969825,2970309
gene_282,2969830,2970314
gene_283,2969831,2970315
gene_284,2969841,2970325
gene_286,2969859,2970343
gene_287,2969870,2970354
gene_288,2969881,2970365
gene_289,2969903,2970387
gene_290,2969909,2970393
gene_291,2969921,2970405
gene_292,2969942,2970426
gene_294,2969948,2970432
gene_295,2969961,2970445
gene_296,2969984,2970468
gene_297,2969995,2970479
gene_298,2970000,2970484
gene_299,2970006,2970490
gene_301,2970016,2970500
gene_302,2970041,2970525
gene_303,2970052,2970536
gene_305,2970066,2970550
gene_306,2970088,2970572
gene_307,2970111,2970595
gene_312,2970173,2970657
gene_313,2970178,2970662
gene_314,2970199,2970683
gene_315,2970204,2970688
gene_316,2970225,2970709
gene_317,2970251,2970735
gene_318,2970280,2970764
gene_320,2970286,2970770
gene_321,2970292,2970776
gene_323,2970302,2970786
gene_324,2970312,2970796
gene_326,2970338,2970822
gene_327,2970360,2970844
gene_328,2970365,2970849
gene_329,2970389,2970873
gene_332,2970518,2971002
gene_334,2970548,2971032
gene_335,2970565,2971049
gene_336,2970576,2971060
gene_337,2970583,2971067
gene_338,2970599,2971083
gene_339,2970606,2971090
gene_341,2970625,2971109
gene_342,2970634,2971118
gene_343,2970672,2971156
gene_344,2970679,2971163
gene_346,2970727,2971211
gene_347,2970780,2971264
gene_348,2970782,2971266
gene_351,2970830,2971314
gene_352,2970835,2971319
gene_353,2970856,2971340
gene_354,2970867,2971351
gene_355,2970878,2971362
gene_356,2970901,2971385
gene_358,2970922,2971406
gene_359,2970929,2971413
gene_362,2970951,2971435
gene_363,2970959,2971443
gene_364,2970970,2971454
gene_365,2971065,2971549
gene_366,2971082,2971566
gene_367,2971129,2971613
gene_368,2971151,2971635
gene_369,2971159,2971643
gene_370,2971172,2971656
gene_373,2971180,2971664
gene_374,2971184,2971668
gene_376,2971195,2971679
gene_378,2971208,2971692
gene_379,2971220,2971704
gene_380,2971229,2971713
gene_381,2971249,2971733
gene_383,2971270,2971754
gene_385,2971298,2971782
gene_386,2971300,2971784
gene_388,2971322,2971806
gene_389,2971346,2971830
gene_390,2971355,2971839
gene_393,2971362,2971846
gene_395,2971382,2971866
gene_396,2971402,2971886
gene_397,2971411,2971895
gene_398,2971419,2971903
gene_400,2971478,2971962
gene_401,2971482,2971966
gene_403,2971495,2971979
gene_405,2971538,2972022
gene_406,2971545,2972029
gene_407,2971563,2972047
gene_408,2971565,2972049
gene_409,2971569,2972053
gene_410,2971602,2972086
gene_415,2971631,2972115
gene_416,2971634,2972118
gene_417,2971640,2972124
gene_420,2971676,2972160
gene_421,2971702,2972186
gene_422,2971788,2972272
gene_423,2971790,2972274
gene_424,2971807,2972291
gene_425,2971830,2972314
gene_426,2971843,2972327
gene_427,2971862,2972346
gene_428,2971869,2972353
gene_429,2971877,2972361
gene_430,2971917,2972401
gene_432,2971929,2972413
gene_433,2971934,2972418
gene_435,2971961,2972445
gene_436,2971963,2972447
gene_437,2971983,2972467
gene_438,2971988,2972472
gene_439,2972000,2972484
gene_440,2972008,2972492
gene_441,2972035,2972519
gene_442,2972057,2972541
gene_443,2972067,2972551
gene_444,2972088,2972572
gene_445,2972094,2972578
gene_447,2972105,2972589
gene_449,2972119,2972603
gene_450,2972129,2972613
gene_451,2972137,2972621
gene_452,2972151,2972635
gene_453,2972163,2972647
gene_454,2972186,2972670
gene_456,2972254,2972738
gene_457,2972264,2972748
